track_id, type, traveled_d, avg_speed, lat, lon, speed, lon_acc, lat_acc, time
1, Motorcycle,16.71,37.601211,37.977308,23.737745,42.679,-1.2611,1.0544,11
2, Motorcycle,85.43,34.949723,37.97783,23.737376,48.5706,0.0859,-0.0327,11
3, Car,96.43,24.107865,37.977937,23.737331,33.6051,0.1202,-0.022,11
4, Car,82.84,23.297884,37.977833,23.737412,32.4377,0.3049,0.0101,11
5, Car,5.93,9.702687,37.977543,23.737679,9.8824,0,0,11
6, Car,31.71,35.678623,37.977419,23.737701,36.9824,0.084,0.3835,11
7, Car,11.68,30.027506,37.977247,23.73776,30.9107,0,0,11
8, Car,14.36,8.33881,37.977309,23.737834,15.4375,0.5734,-0.0094,11
9, Motorcycle,11.16,33.489804,37.97727,23.7378,34.6446,0,0,11
10, Taxi,241.25,12.232532,37.978814,23.736337,11.6036,-0.1174,0.0935,11
11, Car,80.17,24.879237,37.979494,23.735917,22.5556,-0.1394,-0.0059,11
12, Motorcycle,66.1,41.028759,37.977693,23.737486,44.211,0.1974,-0.0384,11
13, Motorcycle,113.51,24.917127,37.978885,23.736393,22.0875,-0.3398,0.0345,11
14, Car,109.68,16.05135,37.978892,23.73644,21.9057,-0.4197,-0.0301,11
15, Car,268.31,17.186862,37.979222,23.736251,25.183,0.4706,-0.0211,11
16, Car,10.88,7.254194,37.979199,23.737013,12.0078,0.3812,-0.0542,11
17, Car,31.31,4.942916,37.97929,23.737179,18.8345,0.3826,0.053,11
18, Car,4.39,0.797875,37.97942,23.737429,0,0,0,11
19, Motorcycle,51.66,30.993905,37.977572,23.737549,32.919,0.1174,-0.0445,11
20, Car,242.79,18.059074,37.978824,23.73631,15.3996,-0.0395,0.0287,11
21, Car,84.17,30.301855,37.977821,23.737341,31.5592,-0.0655,0.0493,11
22, Car,313.98,22.338459,37.979572,23.736067,15.5094,-0.0896,-0.2444,11
23, Motorcycle,130.04,23.644334,37.978819,23.736281,10.746,-0.4486,0.0592,11
24, Motorcycle,243.77,19.676868,37.978794,23.736276,13.8034,-0.0614,0.0801,11
25, Car,99.23,30.275025,37.977935,23.737241,33.4556,0.1203,-0.0042,11
26, Car,45.31,37.075344,37.977525,23.737619,38.8525,0.1151,0.2072,11
27, Motorcycle,271.95,21.853393,37.978685,23.736062,27.8076,0.494,0.0193,11
28, Motorcycle,291.17,23.190926,37.978576,23.735872,17.802,-0.1078,-0.0328,11
29, Motorcycle,249.01,22.079279,37.97877,23.736217,13.4848,-0.1811,-0.0064,11
30, Car,242.88,16.623173,37.97878,23.736282,5.8337,-0.3535,-0.0526,11
31, Car,247.01,18.760242,37.978751,23.736219,0.0016,0.002,0,11
32, Car,302.06,8.115052,37.978509,23.73573,19.9853,0.1326,0.0445,11
33, Medium Vehicle,167,22.433434,37.978621,23.735921,17.8467,-0.1769,0.0761,11
34, Car,418.88,25.558768,37.980363,23.73531,0,0,0,11
35, Car,254.02,16.687638,37.978718,23.73617,0.0005,0.0005,0,11
36, Taxi,260.24,12.729117,37.978696,23.736111,0.0003,0.0003,0,11
37, Taxi,272.73,17.045591,37.978648,23.736024,8.8623,0.8916,0,11
38, Motorcycle,112.78,9.902667,37.978058,23.737271,0.0003,0.0001,0,11
39, Car,107.11,38.557866,37.978008,23.737232,35.8648,-0.0894,-0.0057,11
40, Medium Vehicle,168.98,35.783169,37.978464,23.736822,41.9548,0.1784,0.0062,11
41, Car,138.68,33.283405,37.978232,23.737009,39.17,0.111,-0.0293,11
42, Car,187.66,40.211858,37.978632,23.736733,43.3134,-0.1051,0.0387,11
43, Motorcycle,145.4,33.990756,37.978276,23.736955,36.6476,-0.0755,0.0247,11
44, Motorcycle,120.87,30.643003,37.978106,23.73715,37.1069,-0.022,0.017,11
